Name,Address,Place_ID,Latitude,Longitude
Bunker Fitness,"Budapest, Széchenyi István utca 95",ChIJoXnKyivDQUcRyZn1AItNrrc,47.45426369999999,19.18253
Egészség Mindenkinek,"Budapest, Vízimolnár utca 15-17",ChIJ_aP6tzHZQUcRsThlSUoEJs0,47.5683707,19.0528198
ShapeYou - Body Shaping Studio,"Budapest, Székely Mihály utca 12",ChIJz1TAzmvcQUcRhHBElIy5QPU,47.5007653,19.058691
Body Shaper Power Plate & Személyi Edző,"Budapest, Mosoly utca 42",ChIJD4XwJgDbQUcRcBkxH76NVIM,47.5454717,19.0819274
CrossFit Urban Athletics,"Budapest, Kunigunda útja 68-Building B",ChIJYVn7S2DZQUcRqVgoufS-vng,47.5616886,19.0342334
Kick-Box Edzés | SA GYM - Horváth János Instruktor,"Budapest, Victor Hugo utca 6",ChIJ93QOA8ndQUcRnPPnHFMC7LQ,47.517414,19.0585774
FEELGOOD YOGA,"Budapest, Vitéz utca 9",ChIJY0cW2InfQUcRjz3tRlM1bD8,47.509208,19.0363669
Erdei Edzőpálya,"Budapest, GXRQ+36",ChIJtxgZHUXZQUcRKpEu31aHIIs,47.5401999,18.9880208
BestFit CrossBox,"Budapest, Jégverem utca 5",ChIJe1MdftLdQUcR8QL-OVUNjRI,47.50007429999999,19.0392889
BUSHIDO Se. - SHIDOKAN,"Budapest, Lakatos út 30",ChIJbYCxxVbCQUcRTV2vpd1hUII,47.4508409,19.1721768
PowerBuilder Óbuda,"Budapest, Bogdáni út 1-3",ChIJSYPpIyHZQUcRboSevAsfzkg,47.54980559999999,19.045159
Szabadtéri edzőpark,"Budapest, 525. tér",ChIJ44NU5rnDQUcRHWxcEWlg5ek,47.4813596,19.2200278
Infratrainer Óbuda,"Budapest, Lajos utca 49/a",ChIJJ_hwB1fZQUcRGWt43gwrEhM,47.52889030000001,19.0391541
Gábor Jóga Budakeszi,"Budakeszi, Úrbéres utca 3",ChIJv1Omw1phakcR_LVOb_S-zXQ,47.5076538,18.9172501
Street Workout park,Budapest,ChIJ386c6srdQUcRSgxDHaes3dM,47.5096642,19.0502072
SCHANANDA Balance Yoga Center,"Budapest, Szamorodni utca 25a",ChIJNRUUa5jYQUcRSovYZ9sKSkM,47.55717869999999,18.956126
Kacsa Fitness,"Budapest, Vadkacsa utca 57",ChIJn8EG_uTDQUcR747JmT1b4-E,47.47564999999999,19.2319687
Türkiz Stúdió,"Budapest, Szélső utca 36/b",ChIJWY3k6PHpQUcRZCrZIgMOBfI,47.4083011,19.1715902
Delta Fitness,"Budapest, Béla utca 39",ChIJha5-g1LFQUcRHIxUFUWBh1o,47.5211148,19.1637317
Kondipark,"Budapest, Rákospalota",ChIJo0k3LADbQUcRWj4smN5jXpM,47.5426935,19.1084845
Bri To You,"Budapest, Almássy tér 13",ChIJW6iaTGTcQUcR5_xSiqsdgyw,47.50219339999999,19.072267
Springday Health Club,"Budapest, Árpád út 47-49",ChIJf7ttyjbaQUcRVp4a0SrX-Is,47.5604591,19.087016
KE2 GYM Újpest,"Budapest, Kiss Ernő utca 2",ChIJTceC7zjaQUcRUHIdLafX8mM,47.5661549,19.0952098
Budapest Honvéd Akadémia MFA,"Budapest, Unnamed Road",ChIJD59AsOnDQUcRXc-XBhvdnNM,47.4358529,19.1517904
Sukha Jóga Stúdió,"Budapest, Andocs utca 42",ChIJO5tuAlzFQUcRkglt4nXrEPk,47.5090769,19.2220343
FORTIUS GYM,"Budapest, Károlyi István utca 11",ChIJfxIiAVLbQUcRen80v2BS6hw,47.563874,19.0823591
Mandala Jóga Nyugati,"Budapest, Kresz Géza utca 27",ChIJnQ_FlgvcQUcRGySaYXfiwDY,47.5143594,19.0570526
Intuitive Pilates,"Budapest, Szemere utca 21",ChIJJ7zvn6fdQUcRBswloPQ_BsM,47.5106594,19.0517973
"Luxury Private Fitness - Infratrainer, Speedfitness, Power Plate edzések","Budapest, Tóth Lőrinc utca 35",ChIJZ3yl4JzeQUcRGnjMCZxye7I,47.4963504,19.015685
Hottie Pilates Studio,"Budapest, Visegrádi utca 3-földszint 3",ChIJnV8vLILdQUcRFV2p4zyeW4U,47.5118169,19.0538093
"Sarasvati Alapítvány, Jóga-, és Oktatási Központ","Budapest, Erzsébet királyné útja",ChIJ0YKBIDHaQUcRGp0kbF1XNWA,47.5253526,19.104533
Shape and Soul Budapest,"Budapest, Rácz Aladár út 158 fsz. 3",ChIJGwi2UOjfQUcRXRPPubFFWAE,47.4873552,18.9890939
ElfogadóTér Jógastúdió,"Budapest, X. utca 4",ChIJmxddN5vHQUcRwJU3bA2zPc0,47.4894866,19.2610402
MAG47 Kft.,"Budapest, utcai bejarat, Kada utca 144",ChIJpTr4usPDQUcRgHGDpP2GzEo,47.4820667,19.1567677
Bindusar Yoga studio,"Budapest, Jókai tér 3",ChIJ3wNv7KjdQUcRyarrz7zZ3LE,47.504788,19.0616623
Fitness Five Óbuda,"Budapest, Pünkösdfürdő utca 54",ChIJj-JtKdzZQUcRFdiImywXxVQ,47.5947952,19.054409
Szabadtéri GYM,Budapest,ChIJBxLvWkLFQUcRQCGCyVQ37Mk,47.50809,19.148288
Body Flow Energy Alakformáló Studio,"Budapest, Pannónia utca 9-5 emelet. 5-ös ajtó 155-ös kapucsengő",ChIJ2y7Mz-fdQUcRGTHXOZ5HRfk,47.5140143,19.0522348
Shitokai Hungary Szentkorona Karate Dojo,"Budapest, Szent Korona útja 5",ChIJoejpoOvbQUcRabfKSZuJnpk,47.54616110000001,19.116538
Face & Shape Plastic Surgery,"Budapest, Remete köz 6",ChIJMZcXa0fZQUcR524T-NgkCgY,47.538778,19.0204384
Choco Sun Szolárium & InfraslimX Studió,"Budapest, Hímző utca 10",ChIJ-_NoHDjZQUcRONPaB24iH80,47.59661799999999,19.059219
Healing Movement Studio,"Budapest, Varsó utca 4",ChIJi1V65efdQUcRhsLiS6gPyn0,47.51752030000001,19.1074957
Forró Jóga Angyalföld,"Budapest, Moszkva sétány",ChIJef168unbQUcRYMUTxRkAIxY,47.5317962,19.0565295
Oxygen Wellness,"Budapest, 67, Naphegy utca",ChIJs4a1dTrcQUcRhoR7sjnXUIo,47.491152,19.03802899999999
Mázsaház,"Budapest, Kassák Lajos utca 78",ChIJGVwe8ezbQUcRh8Y289QqyzA,47.5300915,19.0697516
Independent Bjj Hungary x Ares Bjj,"Budapest, Dob utca 107",ChIJE8aOK_7dQUcRi0LHyLyyQPA,47.5048575,19.0735162
"OM SANTIH Egészség-, Oktatási & Mozgásstúdió","Budapest, Lukács György utca 5",ChIJkwO6aBzXQUcRtvcPx-bvclY,47.6012351,19.0531576
[concrete],"Budapest, Teréz körút 54",ChIJf570aNbdQUcRpHOTIaVC_1o,47.5086024,19.058084
Pilathera Studio Buda,"Budapest, Széna tér 7",ChIJ83HGzT3dQUcROEmYac5cGhY,47.5072844,19.0266586
Nr1 Fitness Kálvin 24/7,"Budapest, Kecskeméti utca 14",ChIJKdd6L1vcQUcRG4PRmpnrxMs,47.4898169,19.0611272
New Body Stúdió,"Budapest, Görgey Artúr utca 92",ChIJqzERWPvcQUcR8DmWxdcT43A,47.5656134,19.1100202
Amrita Jógaközpont,"Budapest, Bartók Béla út 34",ChIJKfLBUU3cQUcRQjByNhN16KA,47.4790985,19.0515841
Justfit by Popa Fitness,"Budapest, Hernád utca 50",ChIJBzjdA57bQUcR88hsNQT29cg,47.50685819999999,19.0802617
Avoslimx,"Budapest, Bajcsy-Zsilinszky út 19/b",ChIJF-mrPgDdQUcRgUw7AxaxB7k,47.502102,19.0552439
Fitness Five & Gym,"Budapest, Szentmihályi út 131 / Galéria",ChIJnf9HPeTaQUcRg9pFOY0n9Z8,47.5542786,19.1424941
Sasadfit,"Budapest, Nagyszeben út 16",ChIJg7E1gd3dQUcRLJq_9GaJ5IY,47.4658549,19.009384
Bambusz Egészség Kuckó,"Budapest, Kárpát utca 10",ChIJM7YBqwncQUcRui-Kt9rRE1Y,47.51669810000001,19.0526584
Thor Gym Zugló,"Budapest, Füredi utca 72-76",ChIJ80GFGlPbQUcRl4AsuqPrrNU,47.5139493,19.1486177
Universum Fitness Récsei,"Budapest, Szabó József utca 2",ChIJ_yiJKITcQUcR_E52iN7_gVw,47.50542979999999,19.0928063
Gazdagréti futópálya,"Budapest, Kaptató sétány",ChIJAVutBNnfQUcRGCY23JemHEM,47.47036139999999,18.9987537
Power Pilates Stúdió,"Budapest, Diós árok 7",ChIJU1ro-J3fQUcRugmdkMgiL8Q,47.5092801,18.9999635
Vegán Blog,"Budapest, Szigetcsép utca 151",ChIJF_EkmWbBQUcRZwcU7_KuWPM,47.4675857,19.3091139
Női önvédelem,"Budapest, Mária utca 2",ChIJg3CRK1zcQUcRRPJhhebo-Tc,47.4925961,19.0693777
Joga Placc,"Budapest, Tahi utca 69",ChIJ5fVsXLzbQUcRKKNs7YYMpuE,47.536948,19.0882158
THERM-l97Bt,"Budapest, Vörösmarty utca 6",ChIJr3uJeCTaQUcRAXm82xSbp5U,47.57009619999999,19.0815358
Hidvégi Andi Pilates Studio és GerincPilates Akadémia Pilates Oktató Képzés,"Budapest, Talpfa utca 1",ChIJ74WNfzHFQUcRPsB6rj7KfBM,47.5089716,19.1726267
Nagytarcsa Grund street workout park,Nagytarcsa,ChIJrxj26yDHQUcRwGFaqS5z8bo,47.528804,19.2883873
Primefit Újhegy,"Budapest, Gyömrői út 99",ChIJRfXHhhvDQUcRNc9huA9uAmk,47.46560210000001,19.1578782
Tantra Rebirth,"Budapest, Géza fejedelem tér 8",ChIJmcI7CGjaQUcR6W35KqmL50U,47.5702024,19.1155686
Nika Masszázs Budapest,"Budapest, Ráday utca 34",ChIJVU7BVrbdQUcRDd1sl9JQBDM,47.4848525,19.0651869
Napraforgó Pilates Stúdió,"Budapest, Terv utca 37",ChIJuV_XA1LnQUcRnTgCunfD8jc,47.4083475,19.0018115
KSI vízitelep,"Budapest, Népsziget út 9",ChIJM-yt4tPbQUcR15yNb_uAOdY,47.55246440000001,19.0671815
Reborn Mozgásstúdió,"Budapest, Csalogány utca 40",ChIJG1PVaOjdQUcRX2Gsceqd7sg,47.507768,19.0303173
napi 666,"Budapest, Magyar Jakobinusok tere 4b",ChIJ98grET7dQUcRPT-sXmbCPK4,47.50193780000001,19.0232808
B Strongher fitness,"Budapest, Dessewffy utca 22",ChIJJxu-dwDdQUcRpc950U9pKcw,47.50534469999999,19.0570843
UTE Sportlövő Szakosztály,"Budapest, Mexikói út 21-23",ChIJA5L3Fb3dQUcR0_6dYWXOrRw,47.5067607,19.1084296
Jógabarlang,"Budapest, Etele út 35-7. emelet 24. (24. kapucsengő",ChIJ8TzsYr7dQUcRuyQXPRH0EZo,47.46313300000001,19.0372621
"Karate for kids, for adults, Women","Budapest, Áldás utca 1",ChIJyTKotK7eQUcRGAYAgdhMclg,47.5177749,19.0272383
Gravity Boulder,"Budapest, Lövőház utca 2-6",ChIJz4z-elPfQUcR_50-bOzJD7I,47.5085995,19.0259772
Pre-Fitt studio,"Ecser, Rákóczi utca 61",ChIJUQpvUenAQUcRsLd8r8m6RWA,47.44759570000001,19.3092102
Zsokavar,"Budapest, Gőzös utca 22",ChIJB5jjEI7HQUcRXbrD75iiVUc,47.4932323,19.2839264
Earthpuzzle Klub,"Budapest, Határőr út 40",ChIJuX8X1OrfQUcR6QtH6H1c8EU,47.504333,19.015332
Napsugár Infra Stúdió,"Kerepes, Napsugár Ház, Szabadság út 1/A",ChIJjYidrMfFQUcRdbuS3kRqFlg,47.5512321,19.2685983
CFCFit,"Budapest, Gyömrői út 118",ChIJVdkOMK3DQUcRYunTzGpzgyY,47.4567489,19.18231579999999
Sportcsarnok,"Solymár, Kollwentz Ede utca",ChIJLxKi6Zx3akcR2CqGwFDAhWM,47.59691249999999,18.9346113
Jáde Sárkány Mozgásközpont,"Budapest, Szinyei Merse utca 11",ChIJ6QuGUnHcQUcR_Y7McNRrLXc,47.5113157,19.0681886
Halmy József Kézilabdacsarnok,"Vecsés, Halmy József tér 7",ChIJZaxoMADBQUcRYpDCz_E4b34,47.4087176,19.2492495
Központ,"Budapest, Gazdagréti út 8",ChIJRzkZuTzdQUcRdqBE0Pi_N8U,47.46536819999999,19.00287519999999
TMS Jóga Budaörs,"Budaörs, Templom tér 20",ChIJeasV-TTfQUcR_s0AeNa7E18,47.46119899999999,18.9632314
Urban Oásis Pilates,"Budapest, Ormay Norbert utca 20",ChIJly4hsCzdQUcRZd5C8HaJm3U,47.4598294,19.0348239
Scitec Fitness Club Gold (Lurdy),"Budapest, Könyves Kálmán körút 12-14",ChIJbUnPP1rbQUcRLukTqARr0cg,47.4705397,19.0839902
Studio Harmony Solymár - Reformer Pilates,"Solymár, Meredek utca 17",ChIJ4-ww_KJ3akcRkOC0VZ0yYro,47.5882063,18.9216956
FitChicks Budafok - Gym for women,"Budapest, Nagytétényi út 88",ChIJTdiCMOrnQUcRbup4gnTWxBY,47.412445,19.0320707
Park Fitness,"Budapest, Terv utca 1",ChIJcbCn1wTnQUcRbxh0qTaDrb0,47.4127477,19.0068063
Zuglói Testépitö SE,"Budapest, Komócsy utca sarok",ChIJ5y5p5N7bQUcRSzmzNrlWriU,47.5198963,19.1208411
GYM jam,"Budapest, Szabadka utca 17",ChIJW9JxvBfCQUcR3zt1F5WUnos,47.4318757,19.1952184
Völgy Fitness,"Budapest, Völgy utca 8",ChIJw-3zgwfnQUcRNASoANiXJKQ,47.4107075,19.0196787
Wekerlei Mozgásműhely,"Budapest, Hungária út 28",ChIJI0bODdfDQUcRp5ueCrBs-Sw,47.4553071,19.1224611
Core12 Pilates és Bosu Stúdió,"Budapest, Böszörményi út 13-15",ChIJMVFczkHdQUcR5B3yX361ot4,47.49508059999999,19.0187718
Lavender Spa Center,"Fót, Kossuth Lajos utca 25",ChIJbXf1KzfQQUcRz44DnDnCjR0,47.60906,19.1945374
Thaibox Akadémia,"Budapest, Fehér út 1",ChIJc4xXEmTbQUcRRjwH9WCO1aA,47.5027719,19.1361101
Ambajoga.hu,"Budapest, Kis Rákos utca 29",ChIJe0eLV_vaQUcR-IisvEzDqRE,47.5515183,19.1314556
Pilates House - Reformer pilates studió Üröm szívében,"Üröm, Fő utca 36",ChIJoZ6STInZQUcR8UEzwgo8if8,47.5978633,19.015647
Öv utca 150,"Budapest, Öv utca 150",ChIJqS-nGwDbQUcRqH9OwAZByxM,47.5306651,19.1229795
BudaFitness (Bakos Sport Body & Fitness),"Budapest, Villa utca 1",ChIJpe42eqPnQUcR4FzT04Akxck,47.4158629,19.0357312
